car_id,price(USD)
0,6127.39483249335
1,3329.194092951842
2,5617.769439333085
3,3465.9188744589364
4,3341.8625086696316
5,3443.4757580293262
6,4114.752427888276
7,4649.419909067729
8,5288.315716444113
9,5875.851368104559
10,12672.479178386846
11,5287.557978848799
12,8929.142958030887
13,11418.372653788632
14,4030.084442786314
15,5647.961705636774
16,5900.868720949497
17,5289.438595653715
18,11690.474293560452
19,4624.986837297292
20,5777.123392747274
21,5250.014871029794
22,4088.1013989420503
23,5293.565929780854
24,5202.081317606874
25,4738.9377854087925
26,5361.466892086031
27,4365.274974645303
28,7973.055351829476
29,4726.206654621153
30,4692.491023753579
31,15396.425502113676
32,4619.5554460422645
33,5942.441592523008
34,5832.758594967134
35,7968.880554650469
36,4313.721731455574
37,3922.7508836338325
38,7800.134372048283
39,11894.58392469326
40,4106.080772133812
41,5654.836102144341
42,6746.58387270982
43,6307.815648814934
44,7227.493600381264
45,7898.406061995455
46,5980.068477470605
47,10470.856813715598
48,8503.524787557773
49,8916.426747451074
50,7278.01330743375
51,5945.01701070463
52,6733.8880669281125
53,5542.259023687599
54,3828.5243694832225
55,3879.949911249917
56,4943.097193329481
57,4204.523673832825
58,3943.643503508033
59,6276.644237675218
60,4060.3221327973233
61,7751.386726435938
62,5028.070023336905
63,17898.85311522134
64,4148.805256230991
65,9708.183031062203
66,2799.8747171843997
67,4873.489058721014
68,14553.256827646042
69,4219.246115754933
70,9338.59897159089
71,4026.5621416816266
72,4824.018988528138
73,4450.246172642997
74,7864.244965999067
75,6242.069361498618
76,7753.702436773874
77,3906.6856541133484
78,14731.718987112137
79,9713.661233143946
80,9557.851206390846
81,4402.816026421064
82,3755.5646187379825
83,9798.550641092334
84,7680.298818509675
85,7874.149990403299
86,4866.020007222085
87,4896.792207910708
88,7855.327388725682
89,14704.605502740626
90,7753.093050289543
91,4892.7327795741185
92,7706.490210194423
93,4821.778579201826
94,14923.323539586547
95,4163.625614288121
96,4220.921569011609
97,3917.5539697909326
98,7880.098862524152
99,3886.462033506125
100,4156.585462307334
101,15307.8238508818
102,26466.9929202318
103,7915.932552599901
104,3910.4437387083117
105,23744.264767222667
106,4913.904502374826
107,6274.138491793714
108,15000.329373250086
109,15709.566332201432
110,4213.578054155052
111,4049.5720135298675
112,5111.9790507670905
113,26257.223061451623
114,7739.958582283077
115,3966.838872684727
116,15291.28332929754
117,4190.134069616636
118,8607.505377495709
119,6504.335231583176
120,3989.96222160853
121,3951.628357868701
122,4161.77029817423
123,5131.0144487734315
124,18419.590890996333
125,20417.98254054394
126,9739.142765854918
127,7739.958582283077
128,6090.3413820148735
129,4203.615695312466
130,14518.328300276102
131,7842.496856842982
132,18170.20001095957
133,6101.481515199968
134,4192.065768166263
135,5096.6041587814825
136,389.11197359973266
137,544.619843718423
138,187.36820722416633
139,503.86534270550055
140,301.4900955674302
141,525.3064102405579
142,510.25053711944656
143,200.40954391685227
144,257.29931397017117
145,509.53983802680887
146,425.8291542276538
147,494.8188034052
148,25.680060209368094
149,394.00938743885854
150,505.73986580958353
151,547.2452676164967
152,474.4275803709925
153,514.6396501328236
154,389.7936902696965
155,302.3880364679271
156,518.9228646029205
157,301.0236142075137
158,528.7258081420878
159,306.44248368092485
160,313.31301431910924
161,295.37413949004986
162,158.86851291978383
163,538.3923628629254
164,276.04958862786407
165,504.18760423335516
166,531.9962995508467
